,University,Type,City,Website,Address,Credential Type,Email,Fax,Joint Credential Type,Joint Program Level,Program Level,Telephone,Toll Free
0,Rosewood College,Health Care Aide certificate,"Calgary, Alberta",http://www.rosewoodcollege.ca/program-information/,"Rosewood College3710 West Winds Drive NECalgary, Alberta T3J 5H3Canada",Certificate,mail@rosewoodcollege.ca,,Not entered,Not entered,Apprenticeship Program,(403) 798-7447,
1,Solomon College Ltd,High school program,"Edmonton, Alberta",http://solomoncollege.ca/programs/academic-division/,"Solomon College Ltd10621, 100 Avenue, Suite 228,Edmonton, Alberta T5J 0B3Canada",Diploma,info@solomoncollege.ca,(780) 431-1644,Unknown,University Graduate unknown level,"Non-postsecondary upgrading program (basic literacy, second language training, skills upgrading,)",(780) 431-1515,
2,Grande Prairie Regional College,Aboriginal Administration,"Grande, Alberta",https://www.gprc.ab.ca/programs/aboriginal-administration.html,"Grande Prairie Regional College - Grande Prairie Campus10726-106 AvenueGrande Prairie, Alberta T8V 4C4Canada",Diploma,,(1-780) 539-2832 ,Unknown,University Graduate unknown level,College or CEGEP postsecondary program,(780) 539-2911,1-888-539-4772
3,Portage College,Aboriginal Arts Certificate,"Lac, Alberta",http://www.portagecollege.ca/Programs/Native-Arts-and-Culture/Aboriginal-Art-Certificate,"Portage College - Lac La Biche Campus9531-94 AvenueLac La Biche, Alberta T0A 2C0Canada",Certificate,,,Not entered,Not entered,College or CEGEP postsecondary program,,1-866-623-5551
4,Keyano College,Aboriginal Education,"Fort, Alberta",http://www.keyano.ca/ContinuingEducation/AboriginalEducation,"Clearwater Campus8115 Franklin AvenueFort McMurray, Alberta T9H 2H7Canada",Certificate,registrar@keyano.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 791-4800,1-800-251-1408
5,Keyano College,Aboriginal Entrepreneurship,"Fort, Alberta",http://www.keyano.ca/Academics/Programs/AboriginalEntrepreneurship,"Clearwater Campus8115 Franklin AvenueFort McMurray, Alberta T9H 2H7Canada",Certificate,registrar@keyano.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 791-4800,1-800-251-1408
6,Pixel Blue College ,Aboriginal Graphic Design,"Edmonton, Alberta",http://www.pixelblue.ca/aboriginal-graphic-design.html,"Pixel Blue College Suite 200, 10080 Jasper AvenueEdmonton, Alberta T5J 1V9Canada",Diploma,info@pixelbluecollege.com ,(780) 756-3992,Not entered,Not entered,College or CEGEP postsecondary program,(780) 756-3990,1-866-423-0300
7,Blue Quills First Nations College,Aboriginal Teacher (ATEP) (BEd),"St., Alberta",http://www.bluequills.ca/aboriginal-teacher/,"Blue Quills First Nations CollegeBlue Quills First Nation Indian Reserve - P.O. Box 279 St. Paul, Alberta T0A 3A0Canada",Degree,,(780) 645-4730,Unknown,Not entered,"Bachelor degree (B.A., B.Sc)",(780) 645-4455,1-888-645-4455
8,Bow Valley College,Aboriginal Upgrading Program - Full-Time and Part-Time,"Calgary, Alberta",http://www.bowvalleycollege.ca/programs-and-courses/academic-upgrading/high-school---aboriginal-program.html,"North and South Campus345-6 Avenue SECalgary, Alberta T2G 4V1Canada",Other type of credential,info@bowvalleycollege.ca,,Not entered,Not entered,"Non-postsecondary upgrading program (basic literacy, second language training, skills upgrading,)",(403) 410-1400,1-866-428-2669
9,Portage College,Academic Foundations,"Lac, Alberta",http://www.portagecollege.ca/Programs/Academic-Upgrading/Academic-Foundations,"Portage College - Lac La Biche Campus9531-94 AvenueLac La Biche, Alberta T0A 2C0Canada",Certificate,,,Not entered,Not entered,"Non-postsecondary upgrading program (basic literacy, second language training, skills upgrading,)",,1-866-623-5551
10,Grande Prairie Regional College,Academic Upgrading,"Grande, Alberta",https://www.gprc.ab.ca/programs/academic-upgrading.html,"Grande Prairie Regional College - Grande Prairie Campus10726-106 AvenueGrande Prairie, Alberta T8V 4C4Canada",Certificate,,(1-780) 539-2832 ,Not entered,Not entered,"Non-postsecondary upgrading program (basic literacy, second language training, skills upgrading,)",(780) 539-2911,1-888-539-4772
11,Lakeland College,Academic Upgrading,"Vermilion, Alberta",http://www.lakelandcollege.ca/academics/academic-upgrading/,"Lakeland College5707 College DriveVermilion, Alberta T9X 1K5Canada",General Equivalency Diploma,admissions@lakelandcollege.ca,,Not entered,Not entered,"Non-postsecondary upgrading program (basic literacy, second language training, skills upgrading,)",(780) 853-8400,1-800-661-6490
12,NorQuest College,Academic Upgrading,"Edmonton, Alberta",https://www.norquest.ca/cal/current/program/academic-upgrading-AU12/index.aspx,"NorQuest CollegeDowntown Campus, Main BuildingEdmonton, Alberta T5J 1L6Canada",Other college post-secondary credential,info@norquest.ca,,Not entered,Not entered,"Non-postsecondary upgrading program (basic literacy, second language training, skills upgrading,)",(780) 644-6000,
13,Northern Alberta Institute of Technology (NAIT),Academic Upgrading,"Edmonton, Alberta",http://www.nait.ca/program_home_75979.htm,"Northern Alberta Institute of Technology (NAIT)11762 - 106 StreetEdmonton, Alberta T5G 2R1Canada",Certificate,AskNAIT@nait.ca,(780) 471-8490,Not entered,Not entered,"Non-postsecondary upgrading program (basic literacy, second language training, skills upgrading,)",(780) 471-6248,1-877-333-6248
14,Northern Lakes College,Academic Upgrading,"Slave, Alberta",https://www.northernlakescollege.ca/programs-courses/programs#/programs/1227,"Northern Lakes College - Slave Lake Campus1201 Main Street SE     Slave Lake, Alberta T0G 2A0Canada",General Equivalency Diploma,,(780) 849-2570,Not entered,Not entered,"Non-postsecondary upgrading program (basic literacy, second language training, skills upgrading,)",(780) 849-8600,
15,Southern Alberta Institute of Technology (SAIT),Academic Upgrading,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/academic-upgrading.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",No credential/no certification (not applicable),advising@sait.ca,(403) 284-7112,Not entered,Not entered,"Non-postsecondary upgrading program (basic literacy, second language training, skills upgrading,)",(403) 284-7248,1-877-284-7248
16,Medicine Hat College,Academic Upgrading / College Preparation,"Medicine, Alberta",https://www.mhc.ab.ca/ProgramsandCourses/Academic%20Programs/Programs%20of%20Study/Academic%20Transition%20Plan.aspx,"Medicine Hat College299 College Drive SEMedicine Hat, Alberta T1A 3Y6Canada",Other type of credential,info@mhc.ab.ca,(403) 504-3517,Not entered,Not entered,"Non-postsecondary upgrading program (basic literacy, second language training, skills upgrading,)",(403) 529-3811,1-866-282-8394
17,Mount Royal University,Academic Upgrading and Open Studies,"Calgary, Alberta",http://www.mtroyal.ca/ProgramsCourses/ContinuingEducation/CentreforExtensionCredit/parttime/upgrade/index.htm,"Mount Royal University - Lincoln Park Campus4825 Mount Royal Gate SWCalgary, Alberta T3E 6K6Canada",Other type of credential,,,Unknown,University Graduate unknown level,University Undergraduate unknown level,(403) 440-6111,
18,Southern Alberta Institute of Technology (SAIT),Accelerated Accounting Certificate of Achievement,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/continuing-education/courses-and-certificates/accelerated-accounting-certificate-of-achievement.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Certificate,advising@sait.ca,(403) 284-7112,Not entered,Not entered,College or CEGEP postsecondary program,(403) 284-7248,1-877-284-7248
19,Southern Alberta Institute of Technology (SAIT),Accounting - Oil and Gas Production,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/full-time-studies/certificates/accounting-–-oil-and-gas-production-course-overview.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Certificate,advising@sait.ca,(403) 284-7112,Not entered,Not entered,College or CEGEP postsecondary program,(403) 284-7248,1-877-284-7248
20,Robertson College,Accounting & Payroll Administrator,"Winnipeg, Manitoba",http://www.robertsoncollege.com/careers-accounting-payroll-administrator-calgary.aspx,"Robertson College - Winnipeg265 Notre Dame AvenueWinnipeg, Manitoba R3B 1N9Canada",Diploma,info@robertsoncollege.com,(204) 926-8320,Not entered,Not entered,College or CEGEP postsecondary program,(204) 926-8389,1-888-892-5262
